거래ID,거래일시,고객ID,고객연령,고객성별,고객지역,제품코드,제품명,카테고리,수량,단가,총금액,결제방법,할인율,마케팅채널,판매사원ID
TXN000062,2025-04-01 20:52:16,CUST4602,43,여성,시흥,PRD001,화장품 세트,뷰티,1,100000,100000,할부,0,페이스북,EMP032
TXN000063,2025-04-06 17:10:29,CUST2995,32,여성,안양,PRD003,운동화 Nike Air Max,의류/신발,1,100000,90000,신용카드,10,TV광고,EMP013
TXN000064,2025-02-14 12:56:10,CUST2084,37,남성,하남,PRD007,커피머신 Nespresso,가전제품,1,300000,300000,카드,0,네이버쇼핑,EMP039
TXN000065,2025-04-24 18:29:28,CUST2642,24,여성,수원,PRD006,블루투스 스피커,전자제품,1,150000,112500,카드,25,온라인광고,EMP046
TXN000066,2025-06-11 17:44:46,CUST1510,28,여성,인천,PRD001,화장품 세트,뷰티,1,100000,90000,할부,10,구글광고,EMP049
TXN000067,2025-04-02 12:33:36,CUST0612,58,남성,대구,PRD002,무선이어폰 AirPods,전자제품,1,200000,190000,카드,5,매장방문,EMP012
TXN000068,2025-06-03 15:59:26,CUST0548,45,남성,의정부,PRD005,요가매트,스포츠용품,1,50000,50000,카드,0,쿠팡,EMP028
TXN000069,2025-05-31 21:55:26,CUST4131,56,남성,수원,PRD006,블루투스 스피커,전자제품,3,150000,450000,신용카드,0,페이스북,EMP041
TXN000070,2025-02-04 16:57:01,CUST1814,20,여성,시흥,PRD001,화장품 세트,뷰티,3,100000,255000,신용카드,15,페이스북,EMP010
TXN000071,2025-05-17 09:15:27,CUST4972,45,남성,안양,PRD006,블루투스 스피커,전자제품,1,150000,142500,신용카드,5,지인추천,EMP017
TXN000072,2025-05-27 13:47:41,CUST2373,57,여성,대전,PRD001,화장품 세트,뷰티,1,100000,80000,카드,20,TV광고,EMP024
TXN000073,2025-03-09 10:44:59,CUST2158,45,여성,대구,PRD005,요가매트,스포츠용품,1,50000,47500,신용카드,5,인스타그램,EMP048
TXN000074,2025-04-19 16:55:38,CUST1227,23,여성,김포,PRD004,스마트폰 Galaxy S24,전자제품,1,700000,665000,할부,5,쿠팡,EMP043
TXN000075,2025-05-04 14:14:01,CUST2724,29,남성,성남,PRD007,커피머신 Nespresso,가전제품,2,300000,600000,카드,0,유튜브,EMP029
TXN000076,2025-06-09 12:43:32,CUST4684,62,여성,고양,PRD005,요가매트,스포츠용품,1,50000,45000,신용카드,10,카카오톡,EMP011
TXN000077,2025-05-10 15:04:10,CUST0418,53,여성,구리,PRD001,화장품 세트,뷰티,1,100000,80000,현금,20,온라인몰,EMP022
TXN000078,2025-04-27 15:34:51,CUST1458,46,남성,대구,PRD004,스마트폰 Galaxy S24,전자제품,1,700000,595000,할부,15,카카오톡,EMP021
TXN000079,2025-05-09 17:26:08,CUST4156,50,여성,광주,PRD005,요가매트,스포츠용품,1,50000,40000,현금,20,페이스북,EMP019
TXN000080,2025-04-17 11:12:50,CUST2554,27,여성,인천,PRD001,화장품 세트,뷰티,3,100000,285000,할부,5,유튜브,EMP037
TXN000081,2025-05-16 15:41:14,CUST3220,44,남성,울산,PRD004,스마트폰 Galaxy S24,전자제품,1,700000,630000,신용카드,10,온라인광고,EMP017
TXN000082,2025-05-06 17:15:10,CUST4298,23,여성,부천,PRD005,요가매트,스포츠용품,1,50000,47500,카드,5,지인추천,EMP004
TXN000083,2025-05-18 18:36:11,CUST2336,19,여성,김포,PRD006,블루투스 스피커,전자제품,1,150000,142500,신용카드,5,학교할인,EMP030
TXN000084,2025-05-31 12:14:45,CUST3094,62,남성,시흥,PRD002,무선이어폰 AirPods,전자제품,4,200000,760000,현금,5,블로그,EMP005
TXN000085,2025-06-05 17:13:07,CUST3916,47,남성,대전,PRD007,커피머신 Nespresso,가전제품,1,300000,210000,신용카드,30,네이버블로그,EMP005
TXN000086,2025-05-04 17:59:59,CUST4732,54,여성,부천,PRD002,무선이어폰 AirPods,전자제품,1,200000,200000,현금,0,인스타그램,EMP034
TXN000087,2025-06-01 11:19:01,CUST4189,36,여성,부산,PRD006,블루투스 스피커,전자제품,1,150000,142500,신용카드,5,카페추천,EMP002
TXN000088,2025-02-08 14:46:33,CUST0976,19,여성,의정부,PRD006,블루투스 스피커,전자제품,1,150000,150000,할부,0,네이버블로그,EMP042
TXN000089,2025-06-12 13:36:34,CUST0637,22,여성,평택,PRD006,블루투스 스피커,전자제품,1,150000,135000,신용카드,10,구글광고,EMP021
TXN000090,2025-06-05 16:12:44,CUST4032,24,여성,김포,PRD002,무선이어폰 AirPods,전자제품,1,200000,150000,카드,25,네이버쇼핑,EMP026
TXN000091,2025-04-12 11:34:18,CUST4419,53,남성,울산,PRD003,운동화 Nike Air Max,의류/신발,3,100000,270000,현금,10,지인추천,EMP016
TXN000092,2025-03-22 21:48:28,CUST4532,34,여성,대구,PRD001,화장품 세트,뷰티,1,100000,100000,카드,0,인스타그램,EMP047
TXN000093,2025-04-08 15:45:30,CUST2987,30,여성,광주,PRD002,무선이어폰 AirPods,전자제품,1,200000,190000,현금,5,매장방문,EMP047
TXN000094,2025-05-09 19:03:52,CUST0567,39,여성,하남,PRD003,운동화 Nike Air Max,의류/신발,5,100000,425000,신용카드,15,TV광고,EMP049
TXN000095,2025-02-06 19:04:47,CUST1290,23,남성,하남,PRD008,노트북 MacBook Air,전자제품,2,2100000,3150000,현금,25,유튜브,EMP033
TXN000096,2025-02-23 09:16:16,CUST4531,65,여성,성남,PRD005,요가매트,스포츠용품,1,50000,45000,할부,10,구글광고,EMP022
TXN000097,2025-03-31 16:10:35,CUST3789,34,여성,대전,PRD003,운동화 Nike Air Max,의류/신발,1,100000,100000,할부,0,네이버쇼핑,EMP039
TXN000098,2025-04-04 13:53:59,CUST0434,46,남성,용인,PRD003,운동화 Nike Air Max,의류/신발,1,100000,80000,신용카드,20,네이버쇼핑,EMP020
TXN000099,2025-03-16 16:30:47,CUST3506,44,남성,용인,PRD003,운동화 Nike Air Max,의류/신발,5,100000,500000,카드,0,네이버블로그,EMP049
TXN000100,2025-04-30 21:16:10,CUST4502,51,여성,부산,PRD001,화장품 세트,뷰티,1,100000,100000,할부,0,헬스장추천,EMP033
TXN000101,2025-02-28 10:51:10,CUST2904,47,여성,부산,PRD010,책상 IKEA,가구,1,300000,270000,카드,10,매장방문,EMP034
TXN000102,2025-04-17 21:44:32,CUST2034,31,여성,하남,PRD008,노트북 MacBook Air,전자제품,1,2100000,1890000,카드,10,카카오톡,EMP038
TXN000103,2025-02-13 09:41:11,CUST4116,58,남성,구리,PRD008,노트북 MacBook Air,전자제품,1,2100000,1995000,신용카드,5,인플루언서,EMP023
TXN000104,2025-05-07 21:41:01,CUST4899,22,여성,대전,PRD004,스마트폰 Galaxy S24,전자제품,2,700000,1330000,신용카드,5,쿠팡,EMP001
TXN000105,2025-03-09 19:28:10,CUST0822,43,여성,성남,PRD004,스마트폰 Galaxy S24,전자제품,1,700000,665000,카드,5,카카오톡,EMP026
TXN000106,2025-04-21 15:14:05,CUST4732,49,남성,안양,PRD001,화장품 세트,뷰티,1,100000,90000,카드,10,학교할인,EMP029
TXN000107,2025-04-05 13:47:48,CUST3939,33,남성,대구,PRD001,화장품 세트,뷰티,1,100000,100000,신용카드,0,네이버쇼핑,EMP009
TXN000108,2025-04-09 18:47:18,CUST1201,60,여성,부천,PRD001,화장품 세트,뷰티,5,100000,475000,카드,5,인스타그램,EMP021
TXN000109,2025-06-03 16:15:18,CUST4076,36,남성,의정부,PRD003,운동화 Nike Air Max,의류/신발,1,100000,100000,할부,0,유튜브,EMP046
TXN000110,2025-03-14 13:51:04,CUST4177,59,남성,울산,PRD009,프로틴 파우더,건강식품,2,100000,160000,할부,20,크로스핏,EMP019
TXN000111,2025-06-20 09:20:20,CUST4522,20,남성,성남,PRD002,무선이어폰 AirPods,전자제품,1,200000,160000,현금,20,지인추천,EMP035
TXN000112,2025-03-21 11:16:42,CUST0593,60,남성,안양,PRD002,무선이어폰 AirPods,전자제품,1,200000,160000,카드,20,헬스장추천,EMP017
TXN000113,2025-06-08 16:16:50,CUST2072,42,남성,용인,PRD001,화장품 세트,뷰티,2,100000,150000,현금,25,카카오톡,EMP016
TXN000114,2025-05-09 11:16:10,CUST0778,30,남성,부산,PRD005,요가매트,스포츠용품,3,50000,142500,현금,5,온라인몰,EMP026
TXN000115,2025-04-11 18:51:07,CUST4742,53,여성,광주,PRD001,화장품 세트,뷰티,1,100000,100000,신용카드,0,매장방문,EMP017
TXN000116,2025-04-02 14:00:51,CUST1095,23,여성,대구,PRD004,스마트폰 Galaxy S24,전자제품,1,700000,665000,현금,5,매장방문,EMP019
TXN000117,2025-03-13 09:41:06,CUST4915,36,남성,안양,PRD002,무선이어폰 AirPods,전자제품,1,200000,200000,카드,0,학교할인,EMP008
TXN000118,2025-05-23 09:46:46,CUST1468,45,남성,성남,PRD001,화장품 세트,뷰티,1,100000,95000,카드,5,구글광고,EMP047
TXN000119,2025-04-22 12:55:03,CUST2406,62,여성,구리,PRD005,요가매트,스포츠용품,1,50000,47500,카드,5,페이스북,EMP030
TXN000120,2025-03-27 15:37:01,CUST1169,37,여성,서울,PRD003,운동화 Nike Air Max,의류/신발,1,100000,95000,신용카드,5,네이버블로그,EMP013
TXN000121,2025-04-23 11:11:32,CUST4918,59,여성,대전,PRD008,노트북 MacBook Air,전자제품,2,2100000,4200000,할부,0,페이스북,EMP008
TXN000122,2025-02-29 19:03:57,CUST0119,32,남성,용인,PRD001,화장품 세트,뷰티,1,100000,95000,신용카드,5,네이버블로그,EMP045
TXN000123,2025-03-12 20:26:04,CUST3063,59,남성,성남,PRD007,커피머신 Nespresso,가전제품,2,300000,600000,현금,0,인플루언서,EMP018
TXN000124,2025-05-20 09:47:41,CUST4247,29,남성,성남,PRD001,화장품 세트,뷰티,1,100000,75000,현금,25,카페추천,EMP048
TXN000125,2025-04-28 11:27:08,CUST2285,39,남성,대전,PRD009,프로틴 파우더,건강식품,1,100000,95000,현금,5,TV광고,EMP032
TXN000126,2025-04-20 10:55:43,CUST3395,65,남성,평택,PRD003,운동화 Nike Air Max,의류/신발,4,100000,400000,현금,0,카카오톡,EMP015
TXN000127,2025-05-05 17:28:19,CUST1629,32,여성,대구,PRD005,요가매트,스포츠용품,4,50000,200000,신용카드,0,유튜브,EMP009
TXN000128,2025-01-28 13:21:32,CUST3236,40,남성,구리,PRD007,커피머신 Nespresso,가전제품,5,300000,1500000,신용카드,0,블로그,EMP036
TXN000129,2025-04-23 12:02:07,CUST3208,56,여성,성남,PRD002,무선이어폰 AirPods,전자제품,1,200000,200000,신용카드,0,학교할인,EMP045
TXN000130,2025-05-03 20:07:19,CUST3984,30,여성,수원,PRD001,화장품 세트,뷰티,1,100000,90000,카드,10,지인추천,EMP041
TXN000131,2025-05-12 14:51:26,CUST4125,58,남성,용인,PRD001,화장품 세트,뷰티,1,100000,100000,할부,0,유튜브,EMP006
TXN000132,2025-05-31 18:52:16,CUST2979,37,여성,시흥,PRD002,무선이어폰 AirPods,전자제품,1,200000,200000,카드,0,지인추천,EMP032
TXN000133,2025-04-13 21:44:55,CUST4839,53,여성,의정부,PRD005,요가매트,스포츠용품,2,50000,100000,신용카드,0,네이버블로그,EMP005
TXN000134,2025-04-30 15:49:19,CUST2606,31,남성,하남,PRD002,무선이어폰 AirPods,전자제품,2,200000,400000,할부,0,온라인광고,EMP040
TXN000135,2025-04-19 20:18:30,CUST2097,46,여성,대전,PRD005,요가매트,스포츠용품,2,50000,85000,현금,15,온라인광고,EMP044
TXN000136,2025-05-15 17:31:39,CUST4949,40,남성,안양,PRD003,운동화 Nike Air Max,의류/신발,2,100000,190000,카드,5,구글광고,EMP028
TXN000137,2025-04-01 21:25:02,CUST0954,28,여성,시흥,PRD003,운동화 Nike Air Max,의류/신발,1,100000,100000,카드,0,온라인광고,EMP008
TXN000138,2025-05-30 15:45:49,CUST0507,62,남성,김포,PRD009,프로틴 파우더,건강식품,1,100000,90000,할부,10,학교할인,EMP013
TXN000139,2025-02-06 16:32:16,CUST3997,48,남성,성남,PRD004,스마트폰 Galaxy S24,전자제품,1,700000,665000,할부,5,지인추천,EMP044
TXN000140,2025-01-31 10:23:30,CUST2025,37,남성,부산,PRD001,화장품 세트,뷰티,1,100000,70000,신용카드,30,TV광고,EMP007
TXN000141,2025-04-14 16:00:59,CUST0312,23,여성,인천,PRD004,스마트폰 Galaxy S24,전자제품,4,700000,2800000,카드,0,매장방문,EMP041
TXN000142,2025-05-11 14:37:18,CUST2458,54,여성,구리,PRD005,요가매트,스포츠용품,1,50000,35000,할부,30,지인추천,EMP028
TXN000143,2025-03-04 21:02:04,CUST2765,59,여성,용인,PRD003,운동화 Nike Air Max,의류/신발,4,100000,380000,현금,5,네이버블로그,EMP005
TXN000144,2025-04-21 14:27:48,CUST4805,41,여성,용인,PRD008,노트북 MacBook Air,전자제품,3,2100000,5670000,할부,10,TV광고,EMP025
TXN000145,2025-05-21 18:17:27,CUST3581,51,여성,서울,PRD010,책상 IKEA,가구,2,300000,450000,신용카드,25,네이버쇼핑,EMP001
TXN000146,2025-05-16 13:40:09,CUST4972,26,여성,부천,PRD002,무선이어폰 AirPods,전자제품,1,200000,160000,현금,20,크로스핏,EMP047
TXN000147,2025-05-29 10:56:43,CUST1223,40,남성,대구,PRD008,노트북 MacBook Air,전자제품,1,2100000,1890000,카드,10,지인추천,EMP009
TXN000148,2025-06-04 21:43:07,CUST1066,37,여성,인천,PRD008,노트북 MacBook Air,전자제품,2,2100000,4200000,신용카드,0,네이버쇼핑,EMP050
TXN000149,2025-06-11 10:12:59,CUST1846,52,남성,인천,PRD008,노트북 MacBook Air,전자제품,1,2100000,1995000,카드,5,네이버블로그,EMP027
TXN000150,2025-04-30 20:27:21,CUST4571,21,여성,시흥,PRD002,무선이어폰 AirPods,전자제품,1,200000,200000,할부,0,카페추천,EMP013
TXN000151,2025-04-16 19:06:10,CUST2558,60,남성,부산,PRD002,무선이어폰 AirPods,전자제품,1,200000,160000,신용카드,20,네이버쇼핑,EMP003
TXN000152,2025-03-15 18:46:05,CUST3061,34,여성,의정부,PRD001,화장품 세트,뷰티,1,100000,95000,현금,5,네이버쇼핑,EMP025
TXN000153,2025-05-14 18:44:07,CUST2879,24,여성,부천,PRD003,운동화 Nike Air Max,의류/신발,1,100000,100000,신용카드,0,온라인몰,EMP036
TXN000154,2025-05-14 11:17:25,CUST2998,30,남성,김포,PRD004,스마트폰 Galaxy S24,전자제품,2,700000,1260000,현금,10,인플루언서,EMP015
TXN000155,2025-05-23 16:22:19,CUST0222,20,여성,수원,PRD009,프로틴 파우더,건강식품,1,100000,80000,카드,20,학교할인,EMP007
TXN000156,2025-03-30 20:36:07,CUST2280,27,남성,구리,PRD002,무선이어폰 AirPods,전자제품,1,200000,200000,카드,0,블로그,EMP018
TXN000157,2025-04-20 16:35:07,CUST1831,64,남성,인천,PRD008,노트북 MacBook Air,전자제품,2,2100000,3360000,카드,20,네이버블로그,EMP035
TXN000158,2025-04-12 15:59:59,CUST0132,27,여성,안산,PRD010,책상 IKEA,가구,1,300000,225000,현금,25,카페추천,EMP023
TXN000159,2025-02-25 10:35:12,CUST4893,30,남성,고양,PRD003,운동화 Nike Air Max,의류/신발,2,100000,200000,카드,0,인플루언서,EMP037
TXN000160,2025-02-16 09:35:00,CUST2137,58,여성,울산,PRD003,운동화 Nike Air Max,의류/신발,1,100000,85000,카드,15,페이스북,EMP039
TXN000161,2025-04-24 12:27:15,CUST1746,29,남성,안양,PRD001,화장품 세트,뷰티,1,100000,95000,카드,5,블로그,EMP024
TXN000162,2025-03-28 20:38:54,CUST3176,26,남성,시흥,PRD008,노트북 MacBook Air,전자제품,1,2100000,1575000,신용카드,25,페이스북,EMP011
TXN000163,2025-04-29 20:41:40,CUST0342,59,여성,시흥,PRD003,운동화 Nike Air Max,의류/신발,4,100000,380000,카드,5,TV광고,EMP025
TXN000164,2025-06-17 16:24:57,CUST3070,20,남성,대구,PRD004,스마트폰 Galaxy S24,전자제품,1,700000,700000,할부,0,지인추천,EMP043
TXN000165,2025-04-16 12:22:06,CUST0820,63,여성,하남,PRD003,운동화 Nike Air Max,의류/신발,2,100000,180000,카드,10,지인추천,EMP041
TXN000166,2025-04-25 15:16:05,CUST4044,52,여성,고양,PRD005,요가매트,스포츠용품,3,50000,127500,현금,15,온라인몰,EMP030
TXN000167,2025-03-22 15:21:47,CUST2833,26,남성,인천,PRD006,블루투스 스피커,전자제품,1,150000,150000,할부,0,블로그,EMP014
TXN000168,2025-03-31 13:15:57,CUST2279,64,남성,고양,PRD002,무선이어폰 AirPods,전자제품,3,200000,450000,신용카드,25,네이버블로그,EMP036
TXN000169,2025-04-13 21:27:27,CUST2212,61,남성,인천,PRD008,노트북 MacBook Air,전자제품,1,2100000,1995000,현금,5,네이버블로그,EMP027
TXN000170,2025-05-30 13:03:49,CUST2898,39,여성,서울,PRD002,무선이어폰 AirPods,전자제품,1,200000,190000,신용카드,5,지인추천,EMP046
TXN000171,2025-06-04 15:44:25,CUST2813,33,여성,용인,PRD003,운동화 Nike Air Max,의류/신발,3,100000,240000,현금,20,온라인광고,EMP014
TXN000172,2025-05-10 16:20:58,CUST2015,28,남성,하남,PRD009,프로틴 파우더,건강식품,1,100000,100000,할부,0,매장방문,EMP039
TXN000173,2025-02-25 19:07:39,CUST1918,26,여성,시흥,PRD006,블루투스 스피커,전자제품,1,150000,135000,카드,10,블로그,EMP018
TXN000174,2025-04-07 16:10:27,CUST0152,43,여성,구리,PRD003,운동화 Nike Air Max,의류/신발,1,100000,100000,신용카드,0,네이버블로그,EMP044
TXN000175,2025-04-08 18:29:54,CUST0553,35,남성,구리,PRD001,화장품 세트,뷰티,1,100000,100000,카드,0,TV광고,EMP040
TXN000176,2025-04-20 17:26:17,CUST1275,35,여성,울산,PRD005,요가매트,스포츠용품,4,50000,140000,현금,30,TV광고,EMP019
TXN000177,2025-03-06 10:15:59,CUST1828,54,여성,하남,PRD002,무선이어폰 AirPods,전자제품,2,200000,380000,현금,5,학교할인,EMP008
TXN000178,2025-03-07 20:19:56,CUST3872,35,여성,서울,PRD001,화장품 세트,뷰티,2,100000,200000,카드,0,온라인몰,EMP001
